model,model_label,original_rate,assistant_removed_rate,gpt52_substituted_rate,difference,ci_low,ci_high,pairs,conversations
gpt-3.5-turbo-0125,GPT-3.5,0.1794871794871795,0.16666666666666666,0.0641025641025641,-0.11538461538461539,-0.19230769230769232,-0.05128205128205128,78,78
gpt-4-turbo-2024-04-09,GPT-4 Turbo,0.1595744680851064,0.1276595744680851,0.02127659574468085,-0.13829787234042554,-0.22340425531914893,-0.06382978723404255,94,94
gpt-4o-2024-05-13,GPT-4o,0.26595744680851063,0.30851063829787234,0.1702127659574468,-0.09574468085106383,-0.1702127659574468,-0.02127659574468085,94,94
gpt-4o-mini-2024-07-18,GPT-4o mini,0.2765957446808511,0.20212765957446807,0.14893617021276595,-0.1276595744680851,-0.20212765957446807,-0.06382978723404255,94,94
o1-2024-12-17,o1,0.20212765957446807,0.13829787234042554,0.031914893617021274,-0.1702127659574468,-0.24468085106382978,-0.09574468085106383,94,94
o3-mini-2025-01-31,o3 mini,0.2127659574468085,0.1702127659574468,0.13829787234042554,-0.07446808510638298,-0.14893617021276595,0.0,94,94
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,0.3191489361702128,0.26595744680851063,0.19148936170212766,-0.1276595744680851,-0.2127659574468085,-0.05319148936170213,94,94
gpt-5-mini-2025-08-07,GPT-5 mini,0.14893617021276595,0.10638297872340426,0.07446808510638298,-0.07446808510638298,-0.14893617021276595,0.0,94,94
gpt-5.2-2025-12-11,GPT-5.2,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,94,94
gpt-5.5-2026-04-23,GPT-5.5,0.0425531914893617,0.031914893617021274,0.031914893617021274,-0.010638297872340425,-0.031914893617021274,0.0,94,94
