model,model_label,pairs,target_only_rate,target_only_ci_low,target_only_ci_high,full_context_rate,full_context_ci_low,full_context_ci_high,difference,difference_ci_low,difference_ci_high,conversations
gpt-3.5-turbo-0125,GPT-3.5,422,0.011848341232227487,0.005071230933044943,0.02743255312552472,0.023696682464454975,0.012921508005160913,0.04306519391606482,0.011848341232227487,-0.0058823529411764705,0.03282828282828283,229
gpt-4-turbo-2024-04-09,GPT-4 Turbo,433,0.0023094688221709007,0.0004077943514348174,0.012964239604462694,0.016166281755196306,0.00785252991121364,0.03298942421296515,0.013856812933025405,-0.0022988505747126436,0.03571428571428571,232
gpt-4o-2024-05-13,GPT-4o,433,0.053117782909930716,0.03565281590436281,0.07844225866856604,0.11085450346420324,0.0846375495894178,0.14391552568468305,0.057736720554272515,0.024844720496894408,0.09150363270308122,232
gpt-4o-mini-2024-07-18,GPT-4o mini,432,0.03009259259259259,0.017669129148781146,0.05079948074766964,0.05324074074074074,0.035735951699229856,0.07862090401512975,0.023148148148148147,0.002262315761519055,0.04470680352677983,232
o1-2024-12-17,o1,433,0.03464203233256351,0.021104017512268636,0.05636449683628518,0.06235565819861432,0.043205113146321555,0.08920324153879483,0.02771362586605081,0.0025771539501232344,0.053620283789969254,232
o3-mini-2025-01-31,o3 mini,433,0.02771362586605081,0.015923113980982707,0.047810440283430476,0.12009237875288684,0.09276732630982465,0.1540990290764637,0.09237875288683603,0.0445679003833531,0.14285714285714285,232
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,433,0.08083140877598152,0.0586922835934889,0.1103426313160025,0.19399538106235567,0.1595078573303889,0.2338647389533996,0.11316397228637413,0.04324170761670762,0.17682958921694478,232
gpt-5-mini-2025-08-07,GPT-5 mini,433,0.02771362586605081,0.015923113980982707,0.047810440283430476,0.050808314087759814,0.033789449313701106,0.07572730523118086,0.023094688221709007,-0.01,0.0603458687323005,232
gpt-5.2-2025-12-11,GPT-5.2,433,0.009237875288683603,0.003598127485435889,0.02350886655460226,0.006928406466512702,0.0023590242628902143,0.020169649749101057,-0.0023094688221709007,-0.016,0.01238447710284322,232
gpt-5.5-2026-04-23,GPT-5.5,430,0.013953488372093023,0.006410282157615578,0.03010411382416949,0.030232558139534883,0.017751699270856115,0.05103254947708927,0.01627906976744186,-0.004706159822419533,0.04126269261601496,231
