model,role,endpoint,indicator,n,positive_n,auc,ci_low,ci_high,p_one_sided_gt_half,holm_p_within_model_endpoint
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,conspiracy__mean_logit,146,23,0.7930364086249558,0.6860944376026272,0.8829770169224714,0.0001999600079984003,0.0011997600479904018
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,absolutely__rank_strength,146,23,0.6967126193001061,0.5607626488095238,0.8130989166806519,0.003199360127974405,0.003999200159968006
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,misinformation__rank_strength,146,23,0.7117355956168256,0.5811579241071428,0.8334054387938349,0.0007998400319936012,0.003199360127974405
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,misinformation__max_logit,146,23,0.7043124779073878,0.5749653480058193,0.8271855419799498,0.001999600079984003,0.003999200159968006
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,misinterpretation__max_logit,146,23,0.7218098267939201,0.5939281371463314,0.8401652892561984,0.0007998400319936012,0.003199360127974405
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,hallucination__mean_logit,146,23,0.7504418522446094,0.622470305951838,0.8620285390175895,0.0003999200159968006,0.001999600079984003
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,panel:semantic,146,23,0.7988688582537999,0.696954432983065,0.886290302579365,0.0001999600079984003,
Qwen2.5-7B (source),indicator_source_model,framing_score_gte_4,panel:placebo,146,23,0.7112053729232943,0.5736412678890876,0.8352812604150885,0.003199360127974405,
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,conspiracy__mean_logit,146,9,0.8848337388483374,0.7791223125395788,0.9750021043771043,0.0001999600079984003,0.0011997600479904018
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,absolutely__rank_strength,146,9,0.5879967558799676,0.3737229835115865,0.7952898550724637,0.20315936812637472,0.20315936812637472
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,misinformation__rank_strength,146,9,0.7388483373884833,0.5235400654631575,0.911975977240253,0.016996600679864027,0.033993201359728054
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,misinformation__max_logit,146,9,0.7992700729927007,0.6077870356593761,0.9326833795568588,0.0033993201359728054,0.011197760447910418
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,misinterpretation__max_logit,146,9,0.8154906731549068,0.625,0.9428232533889468,0.0027994401119776045,0.011197760447910418
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,hallucination__mean_logit,146,9,0.805352798053528,0.6316387277025576,0.9434737923946557,0.0009998000399920016,0.004999000199960008
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,panel:semantic,146,9,0.8507704785077048,0.7345238095238096,0.9432624113475178,0.0001999600079984003,
Qwen2.5-7B (source),indicator_source_model,exact_spirals_score_gte_7,panel:placebo,146,9,0.8037307380373073,0.5775950668036999,0.9740618057759439,0.0061987602479504095,
GPT-OSS-20B,replication_model,framing_score_gte_4,conspiracy__mean_logit,146,27,0.572829131652661,0.43145091285842296,0.707308743169399,0.14757048590281943,0.4427114577084583
GPT-OSS-20B,replication_model,framing_score_gte_4,absolutely__rank_strength,146,27,0.5767195767195767,0.4560220504417213,0.6895991350902536,0.10337932413517296,0.41351729654069186
GPT-OSS-20B,replication_model,framing_score_gte_4,misinformation__rank_strength,146,27,0.6093993152816682,0.503082345545977,0.7094489572756384,0.022795440911817635,0.1367726454709058
GPT-OSS-20B,replication_model,framing_score_gte_4,misinformation__max_logit,146,27,0.5785869903516963,0.47058720402607046,0.6852825871769936,0.07818436312737452,0.3909218156368726
GPT-OSS-20B,replication_model,framing_score_gte_4,misinterpretation__max_logit,146,27,0.5596016184251478,0.4361864312246116,0.6758488285449756,0.16196760647870426,0.4427114577084583
GPT-OSS-20B,replication_model,framing_score_gte_4,hallucination__mean_logit,146,27,0.4565826330532213,0.3365558344002255,0.5847495053702655,0.7544491101779645,0.7544491101779645
GPT-OSS-20B,replication_model,framing_score_gte_4,panel:semantic,146,27,0.6044195455960162,0.48452316810344825,0.7165515866156695,0.041791641671665665,
GPT-OSS-20B,replication_model,framing_score_gte_4,panel:placebo,146,27,0.4388422035480859,0.3180809105251296,0.5573570618329976,0.8432313537292542,
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,conspiracy__mean_logit,146,10,0.6257352941176471,0.3936189057412079,0.8294015408790978,0.130373925214957,0.7558488302339532
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,absolutely__rank_strength,146,10,0.5911764705882353,0.4346970504619758,0.7472826086956522,0.1259748050389922,0.7558488302339532
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,misinformation__rank_strength,146,10,0.5058823529411764,0.3650497512437811,0.6478164103723805,0.47170565886822635,1.0
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,misinformation__max_logit,146,10,0.5334558823529412,0.3605933421809334,0.7019567661435883,0.35492901419716055,1.0
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,misinterpretation__max_logit,146,10,0.5863970588235294,0.40890318862850555,0.7518498548397983,0.17556488702259548,0.7558488302339532
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,hallucination__mean_logit,146,10,0.450735294117647,0.21666666666666667,0.691584595959596,0.672865426914617,1.0
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,panel:semantic,146,10,0.5875,0.40035326086956524,0.7724006610219845,0.17536492701459708,
GPT-OSS-20B,replication_model,exact_spirals_score_gte_7,panel:placebo,146,10,0.4455882352941176,0.23770517676767677,0.6585766423357662,0.6976604679064187,
Qwen3.5-0.8B,replication_model,framing_score_gte_4,conspiracy__mean_logit,146,37,0.6229853706917927,0.5171140795400664,0.7257596447669976,0.010797840431913617,0.05398920215956809
