endpoint,indicator,n_models,macro_auc,ci_low,ci_high
framing_score_gte_4,conspiracy__mean_logit,4,0.5641795504621667,0.5035445578540545,0.6238794493696512
framing_score_gte_4,absolutely__rank_strength,4,0.5635155003013235,0.49857935580960994,0.6259825032819436
framing_score_gte_4,misinformation__rank_strength,4,0.6010356580152928,0.5437738352453987,0.6560479798906459
framing_score_gte_4,misinformation__max_logit,4,0.5692286540459159,0.5160968650953017,0.6193781623448532
framing_score_gte_4,misinterpretation__max_logit,4,0.5827034994707203,0.5245261813865526,0.6382175513615566
framing_score_gte_4,hallucination__mean_logit,4,0.5377940318756682,0.48460795607526624,0.5900338797487402
framing_score_gte_4,panel:semantic,4,0.6031492148139682,0.5460265524367549,0.656640211861669
framing_score_gte_4,panel:placebo,4,0.5512653973643945,0.49820129666074714,0.602030380281976
exact_spirals_score_gte_7,conspiracy__mean_logit,4,0.5548197286548208,0.4694188059978363,0.6440868681517271
exact_spirals_score_gte_7,absolutely__rank_strength,4,0.5005990522163063,0.3956057995885965,0.6025492046671462
exact_spirals_score_gte_7,misinformation__rank_strength,4,0.6083038306925823,0.53157568821501,0.6790175724090092
exact_spirals_score_gte_7,misinformation__max_logit,4,0.5732091632454508,0.48704985118762667,0.6561228520695608
exact_spirals_score_gte_7,misinterpretation__max_logit,4,0.5864512730664785,0.5021508094329951,0.663234577782135
exact_spirals_score_gte_7,hallucination__mean_logit,4,0.5015550521735411,0.40298166352327447,0.6011532491520621
exact_spirals_score_gte_7,panel:semantic,4,0.5774516993820429,0.49234950054840443,0.6595715686209597
exact_spirals_score_gte_7,panel:placebo,4,0.5303859719460304,0.4248512738826776,0.6300713716999984
