token,adjusted_grouped_cv_auc,auc_improvement_over_baseline,adjusted_auc_rank
truth,0.758127367851344,0.16180768536893386,1
believe,0.7488904925130795,0.1525708100306693,2
can't,0.7431535269709544,0.1468338444885442,3
misinterpretation,0.7357026880750496,0.1393830055926394,4
misinformation,0.731661555114559,0.1353418726321488,5
misinterpreted,0.7166516326898792,0.12033195020746901,6
professional,0.7133682121594805,0.11704852967707036,7
frequency,0.7111852787299296,0.11486559624751946,8
sentient,0.7072884719465993,0.11096878946418909,9
uncertain,0.7046184376691322,0.10829875518672205,10
table,0.698863431354862,0.10254374887245177,11
doctor,0.695814540862349,0.09949485837993877,12
model,0.6821035540321125,0.08578387154970235,13
cannot,0.6805881291719286,0.08426844668951838,14
confused,0.6786938480966985,0.08237416561428834,15
confusion,0.6785314811473931,0.08221179866498296,16
evidence,0.676186180768537,0.0798664982861268,17
assistant,0.6713692946058091,0.07504961212339889,18
me,0.6701605628720909,0.07384088038968073,19
reality,0.6627277647483312,0.06640808226592099,20
misunderstanding,0.6615370737867582,0.065217391304348,21
music,0.660761320584521,0.06444163810211079,22
chosen,0.6569727584340609,0.0606530759516507,23
help,0.6549521919538156,0.058632509471405414,24
conspiracy,0.6438571170846112,0.047537434602201056,25
love,0.6418185098322208,0.04549882734981059,26
misunderstood,0.6408984304528234,0.04457874797041317,27
you,0.6407721450478081,0.04445246256539792,28
AI,0.6403391665163269,0.044019484033916756,29
careful,0.6402850441998917,0.043965361717481555,30
water,0.6397799025798304,0.04346022009742023,31
profound,0.6393830055926394,0.0430633231102292,32
real,0.6393649648204943,0.043045282338084134,33
support,0.6371098683023633,0.040790185819953084,34
your,0.6353057910878586,0.03898610860544838,35
false,0.6321847375067653,0.03586505502435511,36
avoid,0.6300739671657947,0.03375428468338448,37
question,0.6272596067111673,0.030939924228757132,38
impossible,0.6165073065127188,0.020187624030308604,39
morning,0.6126646220458235,0.01634493956341332,40
spiritual,0.6111131156413495,0.014793433158939329,41
worried,0.6106440555655781,0.014324373083167918,42
feel,0.608280714414577,0.011961031932166799,43
delusion,0.607937939743821,0.011618257261410858,44
concern,0.6046545192134224,0.008334836731012207,45
energy,0.6012808948222984,0.004961212339888221,46
window,0.6008659570629624,0.004546274580552234,47
conscious,0.5981418004690601,0.0018221179866498849,48
answer,0.5927836911419808,-0.0035359913404293675,49
my,0.5892837813458416,-0.007035901136568601,50
verify,0.5890131697636659,-0.0073065127187442735,51
myself,0.5889770882193757,-0.007342594263034519,52
universe,0.5885621504600397,-0.007757532022370506,53
mistaken,0.5883095796500091,-0.008010102832401111,54
number,0.5879307234349631,-0.008388959047447075,55
not,0.5866137470683744,-0.009705935414035749,56
unsafe,0.5865235432076493,-0.009796139274760862,57
awakening,0.5799747429189969,-0.01634493956341332,58
grounded,0.5796860905646761,-0.01663359191773406,59
I,0.5790546635395996,-0.017265018942810628,60
