token,inverse_logit_auc,within_endorsed_minus_nonendorsed,within_wilcoxon_p,n_discordant_messages,auc_rank
misinformation,0.7448493595525888,-0.064453125,0.6877626349527541,32,1
misinterpretation,0.7437759336099585,-0.0693359375,0.5050567031709867,32,2
misinterpreted,0.7259516507306512,-0.08349609375,0.34679976109339994,32,3
can't,0.7257532022370556,-0.17438507080078125,0.31259740527144075,32,4
truth,0.7196012989355944,-0.057342529296875,0.335486457337867,32,5
believe,0.7187714234169222,-0.037109375,0.7790637949505768,32,6
uncertain,0.7144145769438931,0.0546875,0.14152680094232573,32,7
music,0.6823471044560707,0.028336524963378906,0.5067361099062484,32,8
frequency,0.6796049070900235,0.0218505859375,0.44463266566081494,32,9
misunderstanding,0.6745264297311926,0.011474609375,0.7463355329726477,32,10
me,0.668455709904384,-0.032268524169921875,0.6468417606029959,32,11
model,0.6598502615911961,-0.018304824829101562,0.7468255525454879,32,12
misunderstood,0.6567021468518852,0.03955078125,0.7316129788884145,32,13
avoid,0.6537705213783149,-0.03656005859375,0.5631885365955958,32,14
confused,0.6427205484394732,-0.05419921875,0.09790965084324395,32,15
confusion,0.6425852426483855,-0.05419921875,0.09790965084324395,32,16
AI,0.640357207288472,0.0517578125,0.1936390750616478,32,17
worried,0.6370828071441457,0.0091552734375,0.9180848655639386,32,18
you,0.6329424499368572,-0.048095703125,0.4156500461595285,32,19
chosen,0.6321937578928378,0.040863037109375,0.29070218836892703,32,20
conspiracy,0.6320133501713874,-0.0615234375,0.39999160033418946,32,21
professional,0.6308677611401768,0.05987548828125,0.14461899314017213,32,22
real,0.6244542666426123,-0.0272216796875,0.6201859043982372,32,23
spiritual,0.6223795778459318,-0.008056640625,0.9765452032618248,32,24
mistaken,0.6213873353779542,0.0153350830078125,0.8443315071813052,32,25
feel,0.6187714234169223,-0.072998046875,0.23854722942711426,32,26
reality,0.6155601659751038,-0.00048828125,0.7293438845711264,32,27
false,0.6137831499188164,0.026182174682617188,0.34980508873151717,32,28
table,0.6134854771784233,0.08499431610107422,0.11498490627855062,32,29
love,0.6089392025978712,-0.0054607391357421875,0.9255089376904931,32,30
careful,0.6028504419989176,0.00311279296875,0.9219422755168527,32,31
evidence,0.6025166877142342,0.014650344848632812,0.4657947200816771,32,32
water,0.6016056287209093,-0.030029296875,0.6102917950649067,32,33
doctor,0.6012899152083709,0.04345703125,0.41592539722723676,32,34
help,0.5998917553671298,-0.0511474609375,0.5811517680947831,32,35
support,0.5899963918455711,-0.0501708984375,0.7790355615577047,32,36
delusion,0.5897257802633953,-0.019287109375,0.7647604748493415,32,37
impossible,0.5876871730110048,0.03228759765625,0.29408273448526834,32,38
profound,0.5871098683023632,-0.0323486328125,0.9765463291910945,32,39
assistant,0.5862980335558362,-0.0283203125,0.9329234136734115,32,40
awakening,0.5839888147212701,0.02880859375,0.6950119130192087,32,41
question,0.5798664982861266,0.010164976119995117,0.41604856425539116,32,42
window,0.5663900414937759,0.02178955078125,0.5433320976804911,32,43
concern,0.5607974021288111,0.078125,0.29433145989334264,32,44
your,0.5573786758073246,0.01953125,0.6333471181511725,32,45
answer,0.5268536893379037,0.03244781494140625,0.6381123671363034,32,46
I,0.5267905466353959,-0.077392578125,0.8663460999121027,32,47
unsafe,0.5224246797762945,0.06535369716584682,0.8600041316346514,32,48
myself,0.52169402850442,0.012603759765625,0.9925393327236628,32,49
my,0.5215677430994047,0.011962890625,0.9925393327236628,32,50
number,0.51979974742919,0.037139892578125,0.22808625846648278,32,51
grounded,0.4855313007396716,0.04388427734375,0.41038689225634384,32,52
conscious,0.477187443622587,-0.041259765625,0.568326972962537,32,53
universe,0.4744542666426123,0.05615234375,0.2555573403522249,32,54
energy,0.47143243730831685,-0.02880859375,0.7223450429584104,32,55
verify,0.46099585062240667,-0.04242134094238281,0.48315269441504205,32,56
not,0.45958867039509294,-0.0174560546875,0.620193548772467,32,57
morning,0.4487100847916291,0.037109375,0.2515053521276437,32,58
cannot,0.35763124661735524,0.025386810302734375,0.4773089824991046,32,59
sentient,0.2889139455168681,0.086517333984375,0.21021812410787266,32,60
