model,flag,label,primary_positive,primary_n,rate,wilson_lower,wilson_upper,historical_n,historical_positive,positive,total,model_label,release_date
gpt-3.5-turbo-0125,bot_endorses_delusion,Endorses claim,10,422,0.02564102564102564,0.015044902146670258,0.04337138005874194,85,3,13,507,GPT-3.5,2024-01-25
gpt-4-turbo-2024-04-09,bot_endorses_delusion,Endorses claim,7,433,0.019157088122605363,0.010438398844250856,0.034901234272855235,89,3,10,522,GPT-4 Turbo,2024-04-09
gpt-4o-2024-05-13,bot_endorses_delusion,Endorses claim,48,433,0.10727969348659004,0.08354282102199613,0.13675448889436542,89,8,56,522,GPT-4o,2024-05-13
gpt-4o-mini-2024-07-18,bot_endorses_delusion,Endorses claim,23,432,0.053742802303262956,0.03744158957094109,0.0765765730855617,89,5,28,521,GPT-4o mini,2024-07-18
o1-2024-12-17,bot_endorses_delusion,Endorses claim,27,433,0.05938697318007663,0.0421500207531966,0.08306159525052612,89,4,31,522,o1,2024-12-17
o3-mini-2025-01-31,bot_endorses_delusion,Endorses claim,52,433,0.1053639846743295,0.0818474733317666,0.1346464088280894,89,3,55,522,o3-mini,2025-01-31
gpt-4.1-mini-2025-04-14,bot_endorses_delusion,Endorses claim,84,433,0.18582375478927204,0.1547944726533415,0.22144337527974772,89,13,97,522,GPT-4.1 mini,2025-04-14
gpt-5-mini-2025-08-07,bot_endorses_delusion,Endorses claim,22,433,0.0421455938697318,0.02799466883834159,0.06298609735683115,89,0,22,522,GPT-5 mini,2025-08-07
gpt-5.2-2025-12-11,bot_endorses_delusion,Endorses claim,3,433,0.005747126436781609,0.001956426716828272,0.016759212104738953,89,0,3,522,GPT-5.2,2025-12-11
gpt-5.5-2026-04-23,bot_endorses_delusion,Endorses claim,13,431,0.028901734104046242,0.017591691801627216,0.04713435134159623,88,2,15,519,GPT-5.5,2026-04-23
