model,model_label,coefficient,ci_low,ci_high,p_value,rows,conversations
gpt-3.5-turbo-0125,GPT-3.5,0.002114174952941094,-0.01697155673767487,0.02119990664355706,0.8254403439303343,255,62
gpt-4-turbo-2024-04-09,GPT-4 Turbo,0.014461379366496009,-0.014123476176177723,0.04304623490916974,0.3157106810965771,263,62
gpt-4o-2024-05-13,GPT-4o,0.03889669840714401,-0.06093578382104021,0.13872918063532824,0.43893721298884897,263,62
gpt-4o-mini-2024-07-18,GPT-4o mini,0.012270878205377058,-0.08907357161566123,0.11361532802641536,0.8095022444483498,262,62
o1-2024-12-17,o1,0.027304729045569923,-0.04705603858598115,0.10166549667712099,0.46561122824646356,263,62
o3-mini-2025-01-31,o3 mini,0.0015271382725462433,-0.07032132416425006,0.07337560070934256,0.9662373520666998,263,62
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,0.10871253715999851,-0.0012668546503731004,0.21869192897037013,0.05261390132844766,263,62
gpt-5-mini-2025-08-07,GPT-5 mini,-0.0326261323031251,-0.08726600699048112,0.022013742384230928,0.23710073856591543,263,62
gpt-5.2-2025-12-11,GPT-5.2,0.0027273026698436138,-0.003516866992314794,0.00897147233200202,0.38587731329623165,263,62
gpt-5.5-2026-04-23,GPT-5.5,-0.019047400332573267,-0.052630282330815466,0.014535481665668933,0.2611739613520292,261,62
