retrieval_name,bucket,n,positives,hit_rate,min_score,max_score,min_rank,max_rank,errors
hypothetical_bucket_calibration,rank_000001_000500,30,4,0.1333333333,0.2819437981,0.334690094,40,485,0
hypothetical_bucket_calibration,rank_000501_002000,30,4,0.1333333333,0.2452159524,0.2810283899,503,1996,0
hypothetical_bucket_calibration,rank_002001_010000,30,1,0.0333333333,0.2025335729,0.2389086187,2612,9562,0
hypothetical_bucket_calibration,rank_010001_050000,30,0,0.0,0.1521427184,0.2009532601,10127,49760,0
hypothetical_bucket_calibration,rank_050001_500000,30,0,0.0,0.0617770776,0.146273911,59348,495017,0
positive_bootstrap_v1_positive_raw,rank_000001_000500,30,10,0.3333333333,0.5025817752,0.5854893923,40,485,1
positive_bootstrap_v1_positive_raw,rank_000501_002000,30,3,0.1,0.4573673308,0.5011063814,503,1996,0
positive_bootstrap_v1_positive_raw,rank_002001_010000,30,2,0.0666666667,0.4044293165,0.4474931955,2612,9562,0
positive_bootstrap_v1_positive_raw,rank_010001_050000,30,1,0.0333333333,0.3421905041,0.4024333656,10127,49760,0
positive_bootstrap_v1_positive_raw,rank_050001_500000,30,1,0.0333333333,0.2193157673,0.3346869349,59348,495017,0
positive_bootstrap_v1_positive_whitened,rank_000001_000500,30,12,0.4,0.2206956297,0.2991591096,40,485,0
positive_bootstrap_v1_positive_whitened,rank_000501_002000,30,2,0.0666666667,0.1801240295,0.2195408195,503,1996,0
positive_bootstrap_v1_positive_whitened,rank_002001_010000,30,1,0.0333333333,0.1413294077,0.1731812358,2612,9562,0
positive_bootstrap_v1_positive_whitened,rank_010001_050000,30,1,0.0333333333,0.0975853577,0.1399716884,10127,49760,0
positive_bootstrap_v1_positive_whitened,rank_050001_500000,30,0,0.0,0.037673533,0.0923429132,59348,495017,0
