progress_bin,rate,ci_low,ci_high,conversations,series
0-.2,0.3270891644859104,0.2003115991901453,0.4638777472913372,27,User endorses delusion
.2-.4,0.4643650015651515,0.3311652022135577,0.5964592130896478,26,User endorses delusion
.4-.6,0.43616628834853055,0.3173074221266793,0.5605385636907375,27,User endorses delusion
.6-.8,0.4936344452648801,0.35564108388927224,0.6346153433925172,26,User endorses delusion
.8-1,0.47967839152413533,0.3622978977682875,0.5947446700631565,27,User endorses delusion
0-.2,0.3141655785460542,0.17562681436210847,0.4619102846812485,27,Assistant endorses delusion
.2-.4,0.4254320017813271,0.2881534226642922,0.5625865440295724,26,Assistant endorses delusion
.4-.6,0.4893834528142374,0.35062019885920437,0.6255273570225468,27,Assistant endorses delusion
.6-.8,0.5419295472144048,0.4019370704008635,0.6769446406546604,26,Assistant endorses delusion
.8-1,0.5953559623907784,0.4533044213022558,0.7305178632224691,27,Assistant endorses delusion
